                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.57565,                0.90041,                 1.1029,                0.82158,                0.83782,                0.89606,                0.81448,                0.46332,                0.70018,                0.96669,                0.00769,                0.00769,                0.00769
                     37,                0.55997,                0.84624,                 1.0911,                0.85884,                0.82504,                0.90397,                0.82716,                0.44948,                0.65925,                0.96245,               0.007624,               0.007624,               0.007624
                     38,                0.56534,                0.88105,                 1.0942,                0.81444,                0.81902,                0.89274,                0.81248,                0.45414,                0.68736,                0.95347,               0.007558,               0.007558,               0.007558
                     39,                0.56655,                0.85284,                 1.0928,                0.85952,                0.78987,                0.89682,                0.81708,                0.45037,                0.66619,                0.95844,               0.007492,               0.007492,               0.007492
                     40,                0.55713,                0.84982,                 1.0895,                 0.8359,                0.84636,                0.91008,                0.82939,                0.44793,                0.64779,                 0.9591,               0.007426,               0.007426,               0.007426
                     41,                0.55199,                0.83027,                 1.0892,                0.86973,                0.80821,                0.90245,                0.82535,                0.43111,                0.67865,                0.94058,                0.00736,                0.00736,                0.00736
                     42,                0.55416,                0.82683,                 1.0852,                0.83108,                0.84477,                0.91096,                0.83391,                0.44792,                0.62323,                0.94787,               0.007294,               0.007294,               0.007294
                     43,                0.54347,                 0.8105,                 1.0762,                0.84902,                0.81281,                 0.9078,                0.82752,                0.44948,                0.63617,                0.96127,               0.007228,               0.007228,               0.007228
                     44,                0.54606,                0.79363,                  1.076,                0.83442,                0.83863,                0.90919,                0.83115,                0.41628,                0.70275,                0.92732,               0.007162,               0.007162,               0.007162
                     45,                0.54606,                0.80606,                 1.0773,                0.82495,                0.83435,                0.90767,                0.83614,                0.41792,                0.61507,                0.93467,               0.007096,               0.007096,               0.007096
