                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0928,                 1.3435,                 1.5712,                0.74212,                0.77671,                0.84097,                0.59127,                 1.1169,                 1.0729,                 1.9045,               0.007195,               0.007195,               0.007195
                     36,                 1.0716,                 1.2751,                 1.5478,                0.80404,                0.77551,                0.84557,                0.60546,                 1.0674,                0.97424,                 1.8891,              0.0071125,              0.0071125,              0.0071125
                     37,                 1.0814,                 1.3057,                 1.5628,                0.76652,                0.76381,                0.82979,                0.58145,                 1.1095,                 1.0757,                  1.921,                0.00703,                0.00703,                0.00703
                     38,                 1.0568,                 1.2715,                 1.5389,                0.72763,                0.80378,                0.84453,                0.59178,                 1.1137,                 1.0345,                  1.928,              0.0069475,              0.0069475,              0.0069475
                     39,                 1.0616,                  1.274,                 1.5477,                0.78294,                0.81216,                0.87054,                0.61012,                 1.1133,                 1.0086,                 1.9361,               0.006865,               0.006865,               0.006865
                     40,                 1.0537,                 1.2464,                 1.5373,                 0.7324,                0.81387,                0.85259,                0.60715,                 1.0688,                0.97229,                 1.8653,              0.0067825,              0.0067825,              0.0067825
                     41,                 1.0654,                 1.2353,                 1.5387,                 0.7369,                 0.8105,                0.84659,                0.60566,                 1.0995,                 1.0241,                 1.8897,                 0.0067,                 0.0067,                 0.0067
                     42,                 1.0535,                 1.2383,                 1.5318,                0.82531,                0.74514,                0.84649,                0.60945,                 1.0825,                0.96481,                 1.8911,              0.0066175,              0.0066175,              0.0066175
                     43,                 1.0587,                 1.2311,                 1.5368,                0.75067,                0.82381,                 0.8665,                0.61532,                 1.1006,                0.93828,                  1.902,               0.006535,               0.006535,               0.006535
                     44,                 1.0371,                 1.1932,                 1.5293,                0.81229,                0.77593,                0.86868,                0.61793,                 1.0924,                 1.0344,                 1.8881,              0.0064525,              0.0064525,              0.0064525
                     45,                 1.0461,                 1.2012,                 1.5271,                0.79486,                0.81835,                0.86766,                0.62904,                 1.0813,                0.96143,                 1.8922,                0.00637,                0.00637,                0.00637
                     46,                 1.0341,                 1.1509,                 1.5158,                0.79651,                0.75198,                0.84275,                0.61551,                 1.0562,                 1.0453,                 1.8707,              0.0062875,              0.0062875,              0.0062875
                     47,                 1.0338,                 1.1663,                 1.5175,                0.77152,                0.83654,                 0.8679,                0.62305,                 1.1004,                0.94407,                 1.8885,               0.006205,               0.006205,               0.006205
                     48,                 1.0304,                 1.1253,                 1.5077,                0.83013,                0.79941,                0.87038,                 0.6375,                 1.0482,                0.93388,                 1.8356,              0.0061225,              0.0061225,              0.0061225
